,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
2,"Summer 〰️ Autumn LookBook 여름과 가을 사이 룩북 (ft. 개강룩, 여름 긴팔, 살안타템 돌려입기)",https://www.youtube.com/watch?v=vsKV6g_gKTU,5630,2023-08-10,0:05:51,159
3,"Summer T-shirt LookBook 👕 반팔티 돌려입기 | 여름 반팔 기본템 추천 (ft. 장마철룩, 저렴이 여름옷, 레인부츠 코디, 애슬레저룩, 오버롤, 데님)",https://www.youtube.com/watch?v=DKTGXzbtMEw,5000,2023-07-03,0:05:08,153
4,"Easy haif up hairstyling 🦋 쉽고 예쁘게 가시 반묶음 하는 법 (헤어 꿀팁, 스프레이 추천, 긴 머리 셀프 스타일링 방법)",https://www.youtube.com/watch?v=mJLtJdesJBA,1481,2023-06-07,0:05:20,37
5,"BAG HAUL | 여름 룩북 & 데일리 가방 추천 🩷 (휴가룩, 데이트룩, 데일리룩)",https://www.youtube.com/watch?v=slZUDz5UoRE,5533,2023-06-01,0:05:28,112
6,HAUL | 사계절 데일리 신발 추천❤️ 운동화〰️슬리퍼 12가지 신발 하울 • 봄여름 코디 22가지,https://www.youtube.com/watch?v=iySNskUVzPc,4570,2023-05-18,0:13:03,113
7,HAUL | SPRING LOOKBOOK 무채색 봄 룩북🖤 꾸안꾸 캐주얼룩 (ft. 나만 알고픈 쇼핑몰 추천 🛒),https://www.youtube.com/watch?v=5YrzZxohRDY,8316,2023-04-08,0:06:01,230
8,HAUL | SPRING LOOKBOOK 트렌디하고 실용적인 봄옷 추천 🕊🤍 (with 구독자 이벤트) 하객룩•데일리룩•데이트룩•캠퍼스룩,https://www.youtube.com/watch?v=a5aKbsoPqG4,5448,2023-04-03,0:07:57,122
9,HAUL | SPRING LOOKBOOK 벚꽃 그자체..🌸 봄 데이트룩•썸녀룩•여친룩•꾸안꾸룩•봄나들이룩,https://www.youtube.com/watch?v=FhjUjRswcz8,7217,2023-03-28,0:08:57,163
10,HAUL | Winter 〰️ Spring Look 무스탕 돌려입기🌼 꽃샘추위 봄 룩북 | 헌팅캡 코디•파리지앵룩•무스탕코디•초겨울코디,https://www.youtube.com/watch?v=uZ9ygk7criY,2012,2023-03-17,0:06:43,53
11,VLOG | 내 취향의 제품과 공간들🚪더피터커피. 세실앤세드릭. 페이퍼 인센스. 탬버린즈 조말론 바디로션 (ft. 생일선물 언박싱),https://www.youtube.com/watch?v=iSYPUwID7O0,2551,2023-02-07,0:10:15,45
12,VLOG | 2023년 새해 목표. 베이지 톤온톤•무채색 오오티디. 하루 5분 아침일기 ✍🏻,https://www.youtube.com/watch?v=5i1JwFj0dEA,3830,2023-01-11,0:09:04,57
13,"HAUL | 실용적인 F/W 신발 추천👢(ft. 인스타 최다 문의 신발 모음, 출근룩 운동화 추천)",https://www.youtube.com/watch?v=U5MQD37pWEY,4640,2023-01-05,0:10:26,133
14,"(eng) HAUL | Winter LookBook 겨울 무채색 코디 + 포인트 컬러❄️ (ft. 겨울 미니 스커트, 쿨톤 가디건, 웜톤 퍼자켓, 패션 액세서리)",https://www.youtube.com/watch?v=GNHi_irrC-I,10794,2022-12-14,0:10:37,235
15,"HAUL | Winter item 8가지 겨울 패션 아이템 추천⛄️❄️ (ft. 바라클라바, 겨울 털 모자 머플러, 어그부츠, 헤어 액세서리, 겨울 코디 필수템)",https://www.youtube.com/watch?v=l0HYjs-Pmyw,17633,2022-12-07,0:06:43,430
16,디올 뷰티 꿈의 아뜰리에 팝업🥀 + 각인 서비스..♡ 연말에 가볼만한 곳. 연말 데이트 장소 추천,https://www.youtube.com/watch?v=0NuF9gB1EvI,2512,2022-12-05,0:04:01,34
17,vlog 🛫 도쿄 여행 브이로그. 오모테산도 쇼핑. 시부야 핫한 술집. 전시. 국립 신 미술관. 편집샵. 빈티지샵. 메종키츠네. 발렌시아가 르카골. 에이치 뷰티앤유스. ep 02,https://www.youtube.com/watch?v=IpIeN3rwQH4,3311,2022-12-04,0:16:05,79
18,vlog 🗼도쿄 여행 브이로그. 오모테산도 쇼핑&맛집. 에르메스 긴자. 루이비통 카페. 푸글렌 아사쿠사. 도쿄 빈티지샵. 도쿄 야경 ep 01,https://www.youtube.com/watch?v=I6jjnto0I1o,7457,2022-11-22,0:13:10,139
19,HAUL | Winter LookBook🥀 미리 준비하는 연말룩북 • 저렴한 꾸꾸꾸 겨울 룩북,https://www.youtube.com/watch?v=QLpA3QUReXM,21527,2022-11-12,0:06:40,351
20,SWEAT PANTS LOOKBOOK👟대학생 꾸안꾸 캐주얼 코디 (ft. 트레이닝팬츠 돌려입기) 백팩코디.시험기간룩.캠퍼스룩.원마일웨어,https://www.youtube.com/watch?v=Yu5xhRFqAuc,16757,2022-10-20,0:04:04,420
21,"23SS 서울패션위크 vlog. 송지오 패션쇼 VIP 참석..🥀  차승원, 한혜진, 배정남 아이키 런웨이",https://www.youtube.com/watch?v=caBEEutQE1g,5943,2022-10-18,0:09:25,48
22,"HAUL | Early Winter Outer & Autumn LookBook🧦 이른 겨울 아우터 추천 가을룩북 (ft. 숏 패딩, 코트, 레더 자켓, 니트 집업)",https://www.youtube.com/watch?v=6L7H3K3yc6k,23055,2022-10-07,0:11:01,421
23,"HAUL | WORKWEAR LOOKBOOK🧑🏻‍💻 가을 출근룩, 커리어우먼 오피스룩 (ft. 르블랑 페이우)",https://www.youtube.com/watch?v=KPAiKc9RENA,6323,2022-09-29,0:13:18,127
24,MINI HAUL | Fall Fashion LookBook 가을 니트 룩북🧶 (ft. 코디걱정 없는 니트 추천),https://www.youtube.com/watch?v=jjmFjz6Yc_o,8709,2022-09-10,0:06:24,213
25,"Daily warm-tone makeup | 데일리룩에 모두 어울리는 웜톤 찐 데일리 아이메이크업 (ft. 쌍테, 속쌍, 봄웜브라이트) | 정우Jungwoo",https://www.youtube.com/watch?v=-11FXRl-Dm0,5433,2022-08-30,0:04:29,105
26,HAUL | 9 FALL LOOKBOOK🍁가을 룩북 (ft. 올드머니룩) | 정우Jungwoo,https://www.youtube.com/watch?v=RADBjNUZnSc,10994,2022-08-23,0:12:06,219
