,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
4,올드머니룩 vs  트렌드룩 ㅣ 아이템 하나로 올드머니룩과 트렌드룩 입는 방법,https://www.youtube.com/watch?v=NM13IOyfhzE,3753,2023-08-27,0:07:58,147
5,"여름 이너템, 쌀쌀해지는 가을까지 200% 활용법ㅣ팬츠1, 여름 이너템 6로 다양한 간절기 스타일링 가능👌🏻",https://www.youtube.com/watch?v=mPQuHoteM7Y,4982,2023-08-20,0:08:10,296
6,지금부터 가을까지 쭉 입기 좋은 기본 아이템🤩 l 든든하게 미리 준비해보아요! ✌🏻,https://www.youtube.com/watch?v=VpmtVMiXOV4,10371,2023-08-16,0:12:39,3671
7,❌광고❌ 찐 쿠팡러 추천! 긴~~여름 삶의 질이 상승되는 수직 상승템 🙆🏻‍♀️‼️ㅣ 패션~생활에 필요한 제품까지!,https://www.youtube.com/watch?v=H31qjc8kyRM,3188,2023-08-13,0:06:35,152
8,푹푹찌는 한여름 날씨🔆 폭염에도 시원하게 잘 입는 방법 🔆 🌵 (그리고..질문있어요!🙋🏻‍♀️),https://www.youtube.com/watch?v=o90owqM0lSk,7105,2023-07-30,0:09:23,129
9,2023 자라 ZARA 세일 득템 유행 이너템👚ㅣ 손바닥 만한 TOP 누가입지? 우리도 잘 입을 수 있어요🕶l 자라세일때 입어보아요😍,https://www.youtube.com/watch?v=weGk4ikFxiY,2938,2023-07-23,0:06:33,100
10,원피스로 체형커버! 여름 고민 끝 🤩 ㅣ더운날씨 OK! 습한날씨 OK! 여름 필수템 💯,https://www.youtube.com/watch?v=SD-yXKRTOUY,3537,2023-07-16,0:07:36,114
11,"여행룩과 데일리룩을 넘나드는 한끗차이 스타일링 팁✌🏻 ㅣ썸머 바캉스룩, 고급스럽게 입는 법 👗🌴 (ft. 구독자이벤트)",https://www.youtube.com/watch?v=tR--wGMD7bs,5051,2023-07-09,0:11:19,179
12,"꿉꿉한 날씨, 장마철에도 잘 입는 방법🌧☔️ ㅣ장마철 필수 아이템가득! 장마철룩!☂️(ft. 구독자이벤트)",https://www.youtube.com/watch?v=INR2YcFz-oE,3625,2023-07-05,0:09:38,125
13,오락가락 변덕스러운 요즘 여름날씨에도 옷 잘 입는 방법 ㅣ 비오는날부터 쨍한 더운날까지 똑똑하게 보내는 법 ☔️☀️😎,https://www.youtube.com/watch?v=aLnz0Ci-el0,6969,2023-07-02,0:11:57,182
14,클래식한 썸머 데일리룩 ㅣ 과하지 않은 꾸안꾸룩의 한끗차이 Tip 😎☀️,https://www.youtube.com/watch?v=p9tn1vBthIA,6361,2023-06-25,0:12:21,177
15,아침마다 고민해결! 고급스러운 썸머 출근룩😎 (FT. 구독자이벤트),https://www.youtube.com/watch?v=dzabUude4ic,14360,2023-06-11,0:11:06,311
16,여름이닷! 썸머룩북👗 시원한 블루컬러부터 블랙까지! 다양하게 준비했어욧😎 (ft. 구독자이벤트),https://www.youtube.com/watch?v=y1f9kUW9FLk,7969,2023-06-04,0:15:09,225
17,여름을 빛내줄 요즘 여름슈즈 ㅣ스타일별 컬러별 다양하게 준비했어요🤩👡,https://www.youtube.com/watch?v=ftLMA1yNP4k,5361,2023-05-28,0:06:57,126
