,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,"올가을 아우터 맛집은 여기!🧥🍁 갓성비 자켓, 트위드, 울자켓 하울 & 가을 기본템 이너까지 추천 ✔️",https://www.youtube.com/watch?v=n9kgN3u935Q,34477,2023-09-20,0:10:33,
1,"가을 핵심 기본템 🍂 딱 5가지만 알면 끝‼️ 한번 사면 평생 입는 필수템 총정리 (데님,트위드,니트,레더)",https://www.youtube.com/watch?v=tdmD3Rk_d60,30192,2023-09-15,0:10:04,
2,"가을 패션하울 📦🍁 역대급 예쁜 17가지 내돈내산 가을옷 신상 언박싱 (자켓,니트,맨투맨,스커트,로퍼)",https://www.youtube.com/watch?v=YN9kklPHJ5Y,77691,2023-09-13,0:17:15,
3,요즘 입기 딱 좋은 가을 일주일 코디 🍁 편하고 예쁜 간절기 OOTD 데일리룩 (직장인 & 대학생 필수!),https://www.youtube.com/watch?v=EjR1dV1eEZo,54028,2023-09-10,0:13:48,
4,흔한 곳 말고!! 요즘 가을옷 잘하는 인터넷 쇼핑몰 스타일별 추천 🛒🍁 손품 팔아 찾아냄!🙋🏻‍♀️,https://www.youtube.com/watch?v=e8CJ3pDEadI,158904,2023-09-02,0:13:08,
5,드디어 새로운 유행 흐름? 000는 무조건 뜹니다!📈 2023 FW 가을~겨울 패션 트렌드 총정리🔍🔥,https://www.youtube.com/watch?v=_Qkw7bHoUIA,62350,2023-08-26,0:11:32,
6,청바지 맛집 여기만 알면 끝…👖🛒 3만원~ 인생핏 데님 하울 실착리뷰 🖤 가성비 쇼핑몰 / 브랜드 추천,https://www.youtube.com/watch?v=KfCbcr41ESo,66166,2023-08-22,0:10:27,
7,2023 가을 기본템 가이드🍁 옷장에 OOO 있는지 '이것'부터 필수 체크✔️(제품 & 코디 추천까지!),https://www.youtube.com/watch?v=Y6T1ebXaJOs,138586,2023-08-18,0:13:54,
8,★가성비 최고★ 유행 안타는 데일리 운동화 BEST 10👟 내돈내산! 평생 신을 신발 추천 (+사이즈팁),https://www.youtube.com/watch?v=rNu1q8yOj_o,68495,2023-08-11,0:13:28,
9,"🪩요즘 핫한! 실버 아이템 총정리🪩 최애 실버백,운동화,악세사리,목걸이,키링,에어팟맥스🤍✨",https://www.youtube.com/watch?v=-CbZGfUVwB0,20922,2023-08-08,0:12:38,
10,"마지막!! 여름 패션하울 ✷ 37가지 여름옷 신상 몽땅 입어보기🛒🌞 (기본템,원피스,바지,가방,샌들)",https://www.youtube.com/watch?v=NcHCPILSPwc,42747,2023-08-04,0:17:50,
11,"남은 여름동안 무조건 필수!! 패션 꿀템 대방출⭐️ (왕편한 튜브탑브라,실용만점 데일리백,쿠팡 추천템)",https://www.youtube.com/watch?v=QeMg-1fKzCM,29215,2023-07-27,0:11:03,
12,"최애 악세사리 맛집 브랜드 몽~땅 알려드립니다!💍✨데일리 주얼리 추천 하울 (목걸이,귀걸이,반지)",https://www.youtube.com/watch?v=ZON2Uu2TW2E,27851,2023-07-25,0:10:55,
13,★찐찐찐 추천!!★ NEW 여름 바지 맛집 쇼핑몰 & 브랜드 🛒 10가지 내돈내산 가성비 긴바지 하울 💙,https://www.youtube.com/watch?v=bi5KX3L-xqU,56208,2023-07-22,0:11:34,
14,여름옷 뭐입지?☀️ ‘이것’만 알면 코디 걱정 끝✔️ (필수 기본템 추천 / 옷 관리 꿀팁 / 흔한 패션 실수),https://www.youtube.com/watch?v=pTmYyFrXNqo,32259,2023-07-18,0:12:40,
15,이게 왜 1등...?🤔 패션 플랫폼별 BEST 1위 티셔츠 내돈내산 실착리뷰 👕 1~6만원대 반팔티 찐후기!,https://www.youtube.com/watch?v=ngJURq08yLY,35134,2023-07-16,0:13:03,
16,"여름 신상 잔뜩💖 역대급 예쁨,, 12가지 여름옷 하울 & 코디 추천 (반팔자켓,원피스,바지,블라우스)",https://www.youtube.com/watch?v=z9rDbpOxEfY,35045,2023-07-14,0:12:52,
17,여름 원피스 맛집 전~부 알려드립니다!👗 갓성비 쇼핑몰 & 최애 브랜드 7가지 추천 (편함+예쁨+시원),https://www.youtube.com/watch?v=UFAPBAZi_sE,31445,2023-07-12,0:11:07,
18,무조건 있어야하는 여름 필수 기본템 코디 🌞 편하고 예쁜! 갓성비 데일리룩 추천 (린넨자켓/셔츠/바지),https://www.youtube.com/watch?v=baFwyhvVNGo,33804,2023-07-10,0:11:28,
19,‘이것’만 알면 됨! 명품없이 누구나 고급스럽게 옷 잘 입는 법✔️ 한끗차이 여름 기본템 추천까지🙋🏻‍♀️,https://www.youtube.com/watch?v=7yqD8_i263A,34285,2023-07-07,0:10:15,
20,"여름 패션하울 📦🎀 내돈내산 24가지 여름옷 택배 언박싱💰(갓성비상의,자라 꿀템,핏예쁜바지,잡화)",https://www.youtube.com/watch?v=cLpMKjbWtSI,43752,2023-06-30,0:16:45,
21,"👚이 ""티셔츠""는 무조건 있어야합니다👚 제대로 된 갓성비 기본 반팔티 5가지 추천 ✔️",https://www.youtube.com/watch?v=zD-FpwuADms,30200,2023-06-27,0:12:04,
22,"이게 왜 1등...?🤔 패션 플랫폼별 BEST 1위 가방 내돈내산 솔직리뷰👜 자라, 코스 SPA브랜드까지!",https://www.youtube.com/watch?v=_HwAmtp7Vak,64264,2023-06-24,0:12:10,
23,절.대.실패 없음❗️세상에서 제~일 편한 인생 브라 & 속옷 정착템 추천 🔥 브래지어 실착 리뷰👙,https://www.youtube.com/watch?v=U2tbhPKgAo8,159676,2023-06-16,0:11:12,
24,나만 알기 아까운!! 요즘 스타일 수영복 추천👙 원피스/비키니/모노키니 (지금 아니면 못사요 진짜🫠),https://www.youtube.com/watch?v=6s8Y4l1nXEs,46092,2023-06-14,0:11:30,
25,"여름 바지 맛집 전~부 알려드립니다!!👖🛒 7가지 핏 예쁜 슬랙스, 인생 청바지, 카고팬츠, 반바지 추천",https://www.youtube.com/watch?v=AghBBdIKPHM,55789,2023-06-09,0:09:29,
26,"여름 신상 하울 ☀️ 취향 가득 25가지 여름옷 몽땅 입어보기! (반팔자켓,티셔츠,원피스,바지,가방,신발)",https://www.youtube.com/watch?v=NwdtGxVYHCU,32051,2023-06-06,0:11:34,
27,이게 왜 1등...?🤔 패션 플랫폼별 BEST 1위 원피스 내돈내산 실착리뷰👗 1~10만원대 가성비템 찐후기,https://www.youtube.com/watch?v=3zV8oXFdxjQ,133781,2023-06-03,0:13:24,
28,"무조건 있어야할 여름 데일리 신발 추천 👟🩴 요즘 핫한 운동화, 샌들, 레인부츠 (+사이즈 팁까지!)",https://www.youtube.com/watch?v=yTrT9JzSUfY,79259,2023-05-27,0:11:38,
29,"이너 & 속옷 찐템 전~부 알려드립니다!!👙 완전 편한 캡나시, 오프숄더 브라, 인생 슬리브리스 추천",https://www.youtube.com/watch?v=sCVbS69AwQo,132982,2023-05-23,0:10:20,
30,"여름 패션하울 📦🌞 역대급 예쁜 21가지 내돈내산 여름옷 언박싱 (블라우스,운동화,티셔츠,반바지)",https://www.youtube.com/watch?v=f1mx8_c_Psc,87078,2023-05-16,0:19:41,
31,여름 필수 기본템 완.벽.정.리☀️ 옷 잘 입는 클래식 코디 방법✔️ (대학생 & 직장인 데일리룩 추천),https://www.youtube.com/watch?v=xEZO4OIB2_c,84938,2023-05-10,0:12:26,
32,"이게 왜 1등…?🤔 패션 플랫폼별 BEST 1위 청바지 실착리뷰👖 핏, 소재, 가성비까지 내돈내산 찐후기!",https://www.youtube.com/watch?v=Trn-SgCnH_Q,170576,2023-05-05,0:16:31,
33,"요즘 입기 딱 좋은 봄 여름 코디 💖 진쨔 예쁘고 편한 데일리룩 추천 (자켓,원피스,이너,바지,티셔츠)",https://www.youtube.com/watch?v=fFQnz9_lbeE,39520,2023-04-25,0:14:27,
34,슬랙스 코디 모음.zip📁 알아두면 진짜 쉬운 상의+하의 꿀조합 완.벽.정.리 (직장인 대학생 필수⭐️),https://www.youtube.com/watch?v=NkB-deZFX_0,32647,2023-04-21,0:08:33,
35,"봄 여름 무조건 있어야하는 기본템 클래식 코디✔️ 자켓,셔츠,원피스,청바지 (출근룩 개강룩 필수🤍)",https://www.youtube.com/watch?v=TEJFYHC4NNw,32309,2023-04-16,0:13:22,
36,"이게 왜 1등…?🤔 패션 플랫폼별 BEST 1위 슬랙스 내돈내산 하울🏆 (W컨셉,지그재그,에이블리,29CM,무신사)",https://www.youtube.com/watch?v=16FvvknolLA,116786,2023-04-14,0:15:04,
37,"모든 코디에 어울리는 봄 필수 신발 추천 🌸 데일리 로퍼, 메리제인, 플랫슈즈, 부츠 (게다가 갓성비❤️)",https://www.youtube.com/watch?v=ZYkpC61ClHc,41932,2023-04-07,0:09:42,
