,youtube_id,comment,like_num,comment_date
0,grain,"안녕하세요! 그레인이에요.
오늘은 오랜만에 가져온 쿠션 리뷰입니다!
백화점 쿠션의 대명사인 샤넬 레 베쥬 쿠션 리뷰를 가져왔는데요.
저도 궁금하고 여러분들도 궁금해 하셨던 제품이라
리뷰 준비하면서 정말 신났던 영상이에요.
올해 5월에 레 베쥬 쿠션이 리뉴얼 되면서
커버력도 높아지고 퍼프도 달라졌다고 하니까
그 부분 꼭 확인해 주시고요.
오늘도 제 영상 보러 와주셔서 감사합니다.

[TIME TABLE] 

00:15 마음속 어딘가 있었던 그 쿠션, 드디어 만나다!
00:58 샤넬 레베쥬 쿠션 리뉴얼 소식
01:23 하드웨어 탐색(고급짐 +.+)
02:02 쿠션 개봉
02:18 메쉬망 쿠션 사용 전 필수 단계
02:43 제형, 색상 ,추천 피부톤
03:00 얼굴에 올려볼게요!
04:00 샤넬 레 베쥬 쿠션 색상 선택 방법
05:03 모공, 요철 커버력?
05:40 이 쿠션을 리뷰하게 된 계기?동기? 암튼
06:08 샤넬 레 베쥬 쿠션의 치명적인 단점
06:40 추천 피부 
07:16 1차 다크닝 테스트
07:43 이렇게 끝낼 순 없지! 지속력 테스트 전 밑작업
08:25 약 7시간 지속력
10:39 수정 메이크업 시작(유분 제거 작업)
11:24 본격 수정화장
12:09 2차 다크닝 테스트
13:03 여름철 샤넬 레 베쥬 쿠션 잘 쓰는 방법
14:20 누구에게 추천할 것인가?
14:52 샤넬 레 베쥬 쿠션 저렴이 쿠션은?
15:01 저렴이 쿠션과 샤넬 레 베쥬 쿠션 비교
15:25 감사합니다 ️",3.0,1개월 전
1,skyruby7,요즘 공부한다고 바빠서 그레인님의 영상을 못 챙겨봤는데. 오랜만에 본 영상에서 리뉴얼된 샤넬 쿠션을 리뷰해주시다니. 리뉴얼전 쿠션에 비해 어떤 점이 달라졌는지 기대를 하며 이번에도 재밌게 시청하겠습니다. 감사합니다.,1.0,1개월 전
2,JinaHo,여러 리뷰 영상 보니까 리뉴얼 후에 전반적으로 만족한다던데 텅장될까봐 참으려구요 .. ,3.0,1개월 전
3,kocoru,비내추럴쿠션 진짜 만족하고 쓰고있어요,1.0,3주 전
4,userdp3dp3nr8q,샤넬 쿠션 겨울에 사봐야겠어요 ㅎㅎ,2.0,1개월 전
5,userto1nb8or9s,은은한 광이 너무 예쁜데요?,2.0,1개월 전
6,userpz5nb4kj5l,헤라 래디언트 쿠션도 리뷰해주세용 리뷰감사합니다,1.0,1개월 전
7,annau1023,샤넬쿠션은 항상 뭔가 아쉬워요..그래도 케이스 때문에 또 사고있는 내자신,4.0,1개월 전
8,aprils4783,쿠션 냄새 금방 날라가나요? 전 냄새 예민해서요 ㅠ,1.0,1개월 전
9,userxz8wc8wm7r,"그레인님   최애쿠션 알고싶어요
수많은쿠션을써보셨는데  그중에젤좋았던 쿠션이  궁금합니다",1.0,1개월 전
10,SONto4ip,그레인 Grain님 아주예쁘군요.,2.0,1개월 전
11,userog8ds2ky2t,그쵸그쵸ㅜㅜ침냄새ㅜㅜㅠㅜ어느분이 복숭아 향이 난다해서 샀는데 침냄새가ㅜㅠㅜㅜㅜㅜㅜㅜ,1.0,1개월 전(수정됨)
